			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Lot	Lot	5	 	 	 	x	16	12	12	12	0	70	70	85	100	0	15	15	15	15	15	0	0	15	30	30	40	50	"{Lot}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê ponad przeszkodami je¿eli jego ruch zakoñczy siê na wolnym polu na l¹dzie. Kara do ruchu ponad przeszkodami wynosi 30%.
"	"{Lot}
{Poziom podstawowy}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê ponad przeszkodami je¿eli jego ruch zakoñczy siê na wolnym polu na l¹dzie. Kara do ruchu ponad przeszkodami wynosi 30%.
"	"{Lot}
{Poziom zaawansowany}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê ponad przeszkodami je¿eli jego ruch zakoñczy siê na wolnym polu na l¹dzie. Kara do ruchu ponad przeszkodami wynosi 15%.
"	"{Lot}
{Poziom eksperta}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê ponad przeszkodami je¿eli jego ruch zakoñczy siê na wolnym polu na l¹dzie.
"	 ADV_SPELL
Spacer po wodzie	Spacer po wodzie	4	 	x	 	 	12	8	8	8	0	70	70	85	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Spacer po wodzie}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê po wodzie je¿eli jego ruch zakoñczy siê na l¹dzie. Kara do ruchu po wodzie wynosi 30%.
"	"{Spacer po wodzie}
{Poziom podstawowy}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê po wodzie je¿eli jego ruch zakoñczy siê na l¹dzie. Kara do ruchu po wodzie wynosi 30%.
"	"{Spacer po wodzie}
{Poziom zaawansowany}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê po wodzie je¿eli jego ruch zakoñczy siê na l¹dzie. Kara do ruchu po wodzie wynosi 15%.
"	"{Spacer po wodzie}
{Poziom eksperta}

Bohater rzucaj¹cy czar mo¿e poruszaæ siê po wodzie je¿eli jego ruch zakoñczy siê na l¹dzie.
"	 ADV_SPELL
Wrota wymiarów	Wrota wymiarów	5	 	 	x	 	25	20	20	20	0	1	1	2	3	0	20	20	20	20	20	0	0	20	30	30	150	150	"{Wrota wymiarów}

Bohater rzucaj¹cy czar mo¿e przenieœæ siê w wybrane miejsce na mapie przygody, je¿eli jego ruch zakoñczy siê na pustym polu na l¹dzie. Czar ten mo¿e zostaæ rzucony raz dziennie, a bohater traci 300 punktów ruchu.
"	"{Wrota wymiarów}
{Poziom podstawowy}

Bohater rzucaj¹cy czar mo¿e przenieœæ siê w wybrane miejsce na mapie przygody, je¿eli jego ruch zakoñczy siê na pustym polu na l¹dzie. Czar ten mo¿e zostaæ rzucony raz dziennie, a bohater za ka¿dym razem traci 300 punktów ruchu.
"	"{Wrota wymiarów}
{Poziom zaawansowany}

Bohater rzucaj¹cy czar mo¿e przenieœæ siê w wybrane miejsce na mapie przygody, je¿eli jego ruch zakoñczy siê na pustym polu na l¹dzie. Czar ten mo¿e zostaæ rzucony raz dziennie, a bohater za ka¿dym razem traci 300 punktów ruchu.
"	"{Wrota wymiarów}
{Poziom eksperta}

Bohater rzucaj¹cy czar mo¿e przenieœæ siê w wybrane miejsce na mapie przygody, je¿eli jego ruch zakoñczy siê na pustym polu na l¹dzie. Czar ten mo¿e zostaæ rzucony 2 razy dziennie, a bohater za ka¿dym razem traci 200 punktów ruchu.
"	 ADV_SPELL
Miejski portal	Miejski portal	4	 	x	 	 	25	20	28	28	0	0	0	0	0	15	15	15	15	15	15	0	0	15	30	30	150	150	"{Miejski portal}

Przenosi rzucaj¹cego czar bohatera do najbli¿szego przyjaznego miasta. Bohater traci te¿ 300 punktów ruchu. Miasto nie mo¿e byæ zajête przez innego bohatera.
"	"{Magiczny portal}
{Poziom podstawowy}

Przenosi rzucaj¹cego czar bohatera do najbli¿szego przyjaznego miasta. Bohater traci te¿ 300 punktów ruchu. Miasto nie mo¿e byæ zajête przez innego bohatera.
"	"{Magiczny portal}
{Poziom zaawansowany}

Przenosi rzucaj¹cego czar bohatera do wybranego przyjaznego miasta. Bohater traci te¿ 300 punktów ruchu. Miasto nie mo¿e byæ zajête przez innego bohatera.
"	"{Magiczny portal}
{Poziom eksperta}

Przenosi rzucaj¹cego czar bohatera do wybranego przyjaznego miasta. Bohater traci te¿ 200 punktów ruchu. Miasto nie mo¿e byæ zajête przez innego bohatera.
"	 ADV_SPELL
																																	
Combat spells																																	
																																	
Ruchome piaski	Ruchome piaski	2	x	 	 	 	6	5	5	5	0	0	0	0	0	5	5	5	2	7	5	5	8	5	1	1	1	1	"{Ruchome piaski}

Umieszcza losowo 6 pól ruchomych piasków na polu bitwy widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy. Oddzia³, który w nie wejdzie, traci ruch w danej turze i odkrywa pole dla wszystkich. Czar trwa do koñca bitwy.
"	"{Ruchome piaski}
{Poziom podstawowy}

Umieszcza losowo 6 pól ruchomych piasków na polu bitwy widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy. Oddzia³, który w nie wejdzie, traci ruch w danej turze i odkrywa pole dla wszystkich. Czar trwa do koñca bitwy.
"	"{Ruchome piaski}
{Poziom zaawansowany}

Umieszcza losowo 8 pól ruchomych piasków na polu bitwy widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy. Oddzia³, który w nie wejdzie, traci ruch w danej turze i odkrywa pole dla wszystkich. Czar trwa do koñca bitwy.
"	"{Ruchome piaski}
{Poziom eksperta}

Umieszcza losowo 10 pól ruchomych piasków na polu bitwy widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy. Oddzia³, który w nie wejdzie, traci ruch w danej turze i odkrywa pole dla wszystkich. Czar trwa do koñca bitwy.
"	 COMBAT_SPELL|LOCATION_TARGET
Pole minowe	Pole minowe	2	 	 	x	 	6	5	5	5	10	25	25	50	100	5	5	10	10	2	7	5	5	5	1	1	1	1	"{Pole minowe}

Umieszcza na polu bitwy 6 min widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy (miny nie wyrz¹dz¹ im szkód). Czar trwa do koñca bitwy.
"	"{Pole minowe}
{Poziom podstawowy}

Umieszcza na polu bitwy 6 min widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy (miny nie wyrz¹dz¹ im szkód). Czar trwa do koñca bitwy.
"	"{Pole minowe}
{Poziom zaawansowany}

Umieszcza na polu bitwy 7 min widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy (miny nie wyrz¹dz¹ im szkód). Czar trwa do koñca bitwy.
"	"{Pole minowe}
{Poziom eksperta}

Umieszcza na polu bitwy 8 min widocznych dla rzucaj¹cego i jednostek, dla których teren jest rodzimy (miny nie wyrz¹dz¹ im szkód). Czar trwa do koñca bitwy.
"	 COMBAT_SPELL|LOCATION_TARGET
Pole si³owe	Pole si³owe	2	x	 	 	 	8	7	7	6	0	0	0	0	0	5	10	5	3	5	7	5	5	10	1	1	1	1	"{Pole si³owe}

Tworzy we wskazanym miejscu 2-polowe pole si³owe, które dzia³a jak naturalna przeszkoda. Czas trwania czaru wynosi 2 tury.
"	"{Pole si³owe}
{Poziom podstawowy}

Tworzy we wskazanym miejscu 2-polowe pole si³owe, które dzia³a jak naturalna przeszkoda. Czas trwania czaru wynosi 2 tury.
"	"{Pole si³owe}
{Poziom zaawansowany}

Tworzy we wskazanym miejscu 3-polowe pole si³owe, które dzia³a jak naturalna przeszkoda. Czas trwania czaru wynosi 2 tury.
"	"{Pole si³owe}
{Poziom eksperta}

Tworzy we wskazanym miejscu 3-polowe pole si³owe, które dzia³a jak naturalna przeszkoda. Czas trwania czaru wynosi 2 tury.
"	 COMBAT_SPELL|LOCATION_TARGET
Œciana ognia	Œciana ognia	3		 	x	 	8	6	6	6	15	10	10	20	50	3	1	5	15	8	10	3	5	12	1	1	1	1	"{Œciana ognia}

Tworzy 2-polow¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ. Obra¿enia czaru to (10 + 15 x moc). Czas trwania czaru wynosi 2 tury.
"	"{Œciana ognia}
{Poziom podstawowy}

Tworzy 2-polow¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ. Obra¿enia czaru to (10 + 15 x moc). Czas trwania czaru wynosi 2 tury.
"	"{Œciana ognia}
{Poziom zaawansowany}

Tworzy 3-polow¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ. Obra¿enia czaru to (20 + 15 x moc). Czas trwania czaru wynosi 2 tury.
"	"{Œciana ognia}
{Poziom eksperta}

Tworzy 3-polow¹ œcianê ognia na polu bitwy, która rani oddzia³y próbuj¹ce j¹ pokonaæ. Obra¿enia czaru to (50 + 15 x moc). Czas trwania czaru wynosi 2 tury.
"	 COMBAT_SPELL|LOCATION_TARGET
Trzêsienie ziemi	Trzêsienie ziemi	2	x	 	 	 	5	4	4	4	1	2	2	3	4	5	5	5	3	5	5	10	15	5	1	1	1	1	"{Trzêsienie ziemi}

Uszkadza mury miasta w dwóch losowo wybranych miejscach.
"	"{Trzêsienie ziemi}
{Poziom podstawowy}

Uszkadza mury miasta w dwóch losowo wybranych miejscach.
"	"{Trzêsienie ziemi}
{Poziom zaawansowany}

Uszkadza mury miasta w trzech losowo wybranych miejscach.
"	"{Trzêsienie ziemi}
{Poziom eksperta}

Uszkadza mury miasta w czterech losowo wybranych miejscach.
"	 COMBAT_SPELL
Magiczna strza³a	Magiczna strza³a	2	x	x	x	x	6	5	5	4	10	10	10	20	30	20	20	25	20	20	25	15	15	30	10	10	10	10	"{Magiczna strza³a}

Wysy³a pocisk magicznej energii, zadaj¹cy (10 + 10 x moc) punktów obra¿eñ.
"	"{Magiczna strza³a}
{Poziom podstawowy}

Wysy³a pocisk magicznej energii, zadaj¹cy (10 + 10 x moc) punktów obra¿eñ.
"	"{Magiczna strza³a }
{Poziom zaawansowany}

Wysy³a pocisk magicznej energii, zadaj¹cy (20 + 10 x moc) punktów obra¿eñ.
"	"{Magiczna strza³a}
{Poziom eksperta}

Wysy³a pocisk magicznej energii, zadaj¹cy (30 + 10 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL|CREATURE_TARGET
Lodowy pocisk	Lodowy pocisk	3	 	x	 	 	8	6	6	6	20	10	10	20	50	20	15	10	0	8	10	10	15	12	20	20	20	20	"{Lodowy pocisk}

Wysysa ciep³o z cia³ wrogów, zadaj¹c im (10 + 20 x moc) punktów obra¿eñ.
"	"{Lodowy pocisk}
{Poziom podstawowy}

Wysysa ciep³o z cia³ wrogów, zadaj¹c im (10 + 20 x moc) punktów obra¿eñ.
"	"{Lodowy pocisk}
{Poziom zaawansowany}

Wysysa ciep³o z cia³ wrogów, zadaj¹c im (20 + 20 x moc) punktów obra¿eñ.
"	"{Lodowy pocisk}
{Poziom eksperta}

Wysysa ciep³o z cia³ wrogów, zadaj¹c im (50 + 20 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL|CREATURE_TARGET
B³yskawica	B³yskawica	3	 	 	 	x	9	7	7	7	25	10	10	20	50	5	15	15	10	10	15	10	5	12	25	25	25	25	"{B³yskawica}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu (10 + 25 x moc) punktów obra¿eñ.
"	"{B³yskawica}
{Poziom podstawowy}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu (10 + 25 x moc) punktów obra¿eñ.
"	"{B³yskawica}
{Poziom zaawansowany}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu (20 + 25 x moc) punktów obra¿eñ.
"	"{B³yskawica}
{Poziom eksperta}

Œci¹ga uderzenie pioruna na oddzia³ wroga, zadaj¹c mu (50 + 25 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL|CREATURE_TARGET
Implozja	Implozja	5	x	 	 	 	32	28	28	28	75	100	100	200	300	0	15	20	20	10	25	0	0	20	75	75	75	75	"{Implozja}

Rozrywa cia³a wrogów zadaj¹c (100 + 75 x moc) obra¿eñ wybranemu oddzia³owi.
"	"{Implozja}
{Poziom podstawowy}

Rozrywa cia³a wrogów zadaj¹c (100 + 75 x moc) obra¿eñ wybranemu oddzia³owi.
"	"{Implozja}
{Poziom zaawansowany}

Rozrywa cia³a wrogów zadaj¹c (200 + 75 x moc) obra¿eñ wybranemu oddzia³owi.
"	"{Implozja}
{Poziom eksperta}

Rozrywa cia³a wrogów zadaj¹c (300 + 75 x moc) obra¿eñ wybranemu oddzia³owi.
"	 COMBAT_SPELL|CREATURE_TARGET
£añcuch piorunów	£añcuch piorunów	5	 	 	 	x	22	19	19	19	40	25	25	50	100	0	15	20	15	5	15	0	0	20	75	75	75	75	"{£añcuch piorunów}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga, zadaj¹c mu (25 + 40 x moc) punktów obra¿eñ. Piorun nastêpnie przeskakuje dalej na trzy kolejne oddzia³y, zadaj¹c ka¿demu kolejnemu o 50% mniej obra¿eñ.
"	"{£añcuch piorunów}
{Poziom podstawowy}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga, zadaj¹c mu (25 + 40 x moc) punktów obra¿eñ. Piorun nastêpnie przeskakuje dalej na trzy kolejne oddzia³y, zadaj¹c ka¿demu kolejnemu o 50% mniej obra¿eñ.
"	"{£añcuch piorunów}
{Poziom zaawansowany}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga, zadaj¹c mu (50 + 40 x moc) punktów obra¿eñ. Piorun nastêpnie przeskakuje dalej na cztery kolejne oddzia³y, zadaj¹c ka¿demu kolejnemu o 50% mniej obra¿eñ.
"	"{£añcuch piorunów}
{Poziom eksperta}

Œci¹ga uderzenie pioruna na wybrany oddzia³ wroga, zadaj¹c mu (100 + 40 x moc) punktów obra¿eñ. Piorun nastêpnie przeskakuje dalej na piêæ kolejnych oddzia³ów, zadaj¹c ka¿demu kolejnemu o 50% mniej obra¿eñ
"	 COMBAT_SPELL|CREATURE_TARGET
Kr¹g zimna	Kr¹g zimna	4	 	x	 	 	14	12	12	12	18	15	15	30	60	15	15	10	0	5	5	0	0	6	18	18	18	18	"{Kr¹g zimna}

Wysysa ciep³o z krêgu pól dooko³a wybranego pola, zadaj¹c wszystkim trafionym oddzia³om (15 + 18 x moc) punktów obra¿eñ.
"	"{Kr¹g zimna}
{Poziom podstawowy}

Wysysa ciep³o z krêgu dooko³a wybranego hexu, zadaj¹c wszystkim trafionym oddzia³om (15 + 18 x moc) punktów obra¿eñ.
"	"{Kr¹g zimna}
{Poziom zaawansowany}

Wysysa ciep³o z krêgu dooko³a wybranego hexu, zadaj¹c wszystkim trafionym oddzia³om (30 + 18 x moc) punktów obra¿eñ.
"	"{Kr¹g zimna}
{Poziom eksperta}

Wysysa ciep³o z krêgu dooko³a wybranego hexu, zadaj¹c wszystkim trafionym oddzia³om (60 + 18 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL|LOCATION_TARGET
Kula ognia	Kula ognia	3	 	 	x	 	10	8	8	8	10	15	15	30	60	5	1	10	15	8	10	5	5	12	15	15	15	15	"{Kula ognia}

Potê¿na kula ognia sprawia, ¿e wszystkie oddzia³y na wybranym polu i polach przylegaj¹cych do niego staj¹ w p³omieniach i otrzymuj¹ (15 + 10 x moc) punktów obra¿eñ.
"	"{Kula ognia}
{Poziom podstawowy}

Potê¿na kula ognia sprawia, ¿e wszystkie oddzia³y na wybranym polu i polach przylegaj¹cych do niego staj¹ w p³omieniach i otrzymuj¹ (15 + 10 x moc) punktów obra¿eñ.
"	"{Kula ognia}
{Poziom zaawansowany}

Potê¿na kula ognia sprawia, ¿e wszystkie oddzia³y na wybranym polu i polach przylegaj¹cych do niego staj¹ w p³omieniach i otrzymuj¹ (30 + 10 x moc) punktów obra¿eñ.
"	"{Kula ognia}
{Poziom eksperta}

Potê¿na kula ognia sprawia, ¿e wszystkie oddzia³y na wybranym polu i polach przylegaj¹cych do niego staj¹ w p³omieniach i otrzymuj¹ (60 + 10 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	18	16	16	16	18	20	20	40	80	5	5	5	15	5	10	0	0	6	20	20	20	20	"{Inferno}

Potê¿ny wybuch zadaje (20 + 18 x moc) punktów obra¿eñ wszystkim oddzia³om w zasiêgu 2 pól od wybranego pola.
"	"{Inferno}
{Poziom podstawowy}

Potê¿ny wybuch zadaje (20 + 18 x moc) punktów obra¿eñ wszystkim oddzia³om w zasiêgu 2 pól od wybranego pola.
"	"{Inferno}
{Poziom zaawansowany}

Potê¿ny wybuch zadaje (40 + 18 x moc) punktów obra¿eñ wszystkim oddzia³om w zasiêgu 2 pól od wybranego pola.
"	"{Inferno}
{Poziom eksperta}

Potê¿ny wybuch zadaje (80 + 18 x moc) punktów obra¿eñ wszystkim oddzia³om w zasiêgu 2 pól od wybranego pola.
"	 COMBAT_SPELL|LOCATION_TARGET
Deszcz meteorów	Deszcz meteorów	5	x	 	 	 	20	17	17	17	25	25	25	50	100	0	15	10	15	10	15	0	0	20	37	37	37	37	"{Deszcz meteorów}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie, zadaj¹c im (25 + 25 x moc) punktów obra¿eñ.
"	"{Deszcz meteorów}
{Poziom podstawowy}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie, zadaj¹c im (25 + 25 x moc) punktów obra¿eñ.
"	"{Deszcz meteorów}
{Poziom zaawansowany}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie, zadaj¹c im (50 + 25 x moc) punktów obra¿eñ.
"	"{Deszcz meteorów}
{Poziom eksperta}

Sprowadza deszcz meteorów na wybrany oddzia³ oraz na inne jednostki znajduj¹ce siê w jego s¹siedztwie, zadaj¹c im (100 + 25 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL|LOCATION_TARGET
Fala œmierci	Fala œmierci	2	x	 	 	 	7	5	5	5	5	10	10	20	30	0	0	0	0	20	0	0	0	0	20	20	20	20	"{Fala œmierci}

Wysy³a falê œmierci, która zadaje (10 + 5 x moc) punktów obra¿eñ wszystkim ¿ywym jednostki znajduj¹cym siê na polu bitwy.
"	"{Fala œmierci}
{Poziom podstawowy}

Wysy³a falê œmierci, która zadaje (10 + 5 x moc) punktów obra¿eñ wszystkim ¿ywym jednostki znajduj¹cym siê na polu bitwy.
"	"{Fala œmierci}
{Poziom zaawansowany}

Wysy³a falê œmierci, która zadaje (20 + 5 x moc) punktów obra¿eñ wszystkim ¿ywym jednostki znajduj¹cym siê na polu bitwy.
"	"{Fala œmierci}
{Poziom eksperta}

Wysy³a falê œmierci, która zadaje (30 + 5 x moc) punktów obra¿eñ wszystkim ¿ywym jednostki znajduj¹cym siê na polu bitwy.
"	 COMBAT_SPELL
Zniszcz. nieumar³ych	Zniszcz. nieumar.	3	 	 	 	x	13	10	10	10	10	10	10	20	50	20	5	5	5	0	5	5	5	5	40	40	40	40	"{Zniszczenie nieumar³ych}

Zadaje wszystkim nieumar³ym znajduj¹cym siê na polu bitwy (10 + 10 x moc) punktów obra¿eñ.
"	"{Zniszczenie nieumar³ych}
{Poziom podstawowy}

Zadaje wszystkim nieumar³ym znajduj¹cym siê na polu bitwy (10 + 10 x moc) punktów obra¿eñ.
"	"{Zniszczenie nieumar³ych}
{Poziom zaawansowany}

Zadaje wszystkim nieumar³ym znajduj¹cym siê na polu bitwy (20 + 10 x moc) punktów obra¿eñ.
"	"{Zniszczenie nieumar³ych}
{Poziom eksperta}

Zadaje wszystkim nieumar³ym znajduj¹cym siê na polu bitwy (50 + 10 x moc) punktów obra¿eñ.
"	 COMBAT_SPELL
Armagedon	Armagedon	4	 	 	x	 	22	18	18	18	40	30	30	60	120	0	0	0	10	5	10	0	0	0	100	100	100	100	"{Armagedon}

Zrzuca deszcz ognia i siarki na pole bitwy zadaj¹c (30 + 40 x moc) punktów obra¿eñ wszystkim jednostkom.
"	"{Armagedon}
{Poziom podstawowy}

Zrzuca deszcz ognia i siarki na pole bitwy zadaj¹c (30 + 40 x moc) punktów obra¿eñ wszystkim jednostkom.
"	"{Armagedon}
{Poziom zaawansowany}

Zrzuca deszcz ognia i siarki na pole bitwy zadaj¹c (60 + 40 x moc) punktów obra¿eñ wszystkim jednostkom.
"	"{Armagedon}
{Poziom eksperta}

Zrzuca deszcz ognia i siarki na pole bitwy zadaj¹c (120 + 40 x moc) punktów obra¿eñ wszystkim jednostkom.
"	 COMBAT_SPELL
Tarcza	Tarcza	2	x	 	 	 	5	4	4	7	0	85	85	70	70	10	5	5	5	10	5	5	7	5	10	10	20	20	"{Tarcza}

Zmniejsza obra¿enia zadawane w walce wrêcz wybranemu przyjaznemu oddzia³owi o 15%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza}
{Poziom podstawowy}

Zmniejsza obra¿enia zadawane w walce wrêcz wybranemu przyjaznemu oddzia³owi o 15%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza}
{Poziom zaawansowany}

Zmniejsza obra¿enia zadawane w walce wrêcz wybranemu przyjaznemu oddzia³owi o 30%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	"{Tarcza}
{Poziom eksperta}

Zmniejsza obra¿enia zadawane w walce wrêcz wszystkim przyjaznym oddzia³om o 30%. Czas trwania czaru (w turach) odpowiada liczbie posiadanych punktów mocy zaklêæ bohatera.
"	 COMBAT_SPELL|CREATURE_TARGET_2
