			Fight										Reward							Creatures		Artifacts				Analysis		
 	4	15%	10	Hydra	0%	9	Sea Serpent	6	Chaos Hydra	5	Haspid	2969	0	0	0	0	0	0	30000	0	None	0	0	2	2	60000	21	170%
Harpy Cave	1	15%	50	Harpy Hags	0%	0	None	0	None	0	None	238	0	0	0	0	0	0	0	4	Manticores	0	0	0	0	3400	15	100%
 	2	35%	75	Harpy Hags	0%	0	None	0	None	0	None	357	0	0	0	0	0	0	0	6	Manticores	0	0	0	0	5100	15	150%
 	3	35%	100	Harpy Hags	0%	0	None	0	None	0	None	476	0	0	0	0	0	0	0	8	Manticores	0	0	0	0	6800	15	200%
 	4	15%	150	Harpy Hags	0%	0	None	0	None	0	None	714	0	0	0	0	0	0	0	12	Manticores	0	0	0	0	10000	15	300%
Crypt	1	15%	30	Skeletons	0%	20	Zombies	0	Wights	0	Vampires	75	0	0	0	0	0	0	1500	0	None	0	0	0	0	1500	20	100%
 	2	35%	25	Skeletons	0%	20	Zombies	5	Wights	0	Vampires	94	0	0	0	0	0	0	2000	0	None	0	0	0	0	2000	21	126%
 	3	35%	20	Skeletons	0%	20	Zombies	10	Wights	5	Vampires	169	0	0	0	0	0	0	2500	0	None	1	0	0	0	3500	21	225%
 	4	15%	20	Skeletons	0%	20	Zombies	10	Wights	10	Vampires	225	0	0	0	0	0	0	5000	0	None	1	0	0	0	6000	27	299%
Dragon Utopia	1	15%	8	Green Dragons	0%	5	Red Dragons	2	Gold Dragons	1	Black Dragons	1769	0	0	0	0	0	0	20000	0	None	1	1	1	1	38000	21	100%
 	2	35%	8	Green Dragons	0%	6	Red Dragons	3	Gold Dragons	2	Black Dragons	2209	0	0	0	0	0	0	30000	0	None	0	1	1	2	57000	26	125%
 	3	35%	8	Green Dragons	0%	6	Red Dragons	4	Gold Dragons	3	Black Dragons	2556	0	0	0	0	0	0	40000	0	None	0	0	1	3	75000	29	145%
 	4	15%	8	Green Dragons	0%	7	Red Dragons	6	Gold Dragons	5	Black Dragons	3343	0	0	0	0	0	0	50000	0	None	0	0	0	4	90000	27	189%
